# Format: model_id,Display Name
# --- PASTE YOUR FULL LIST OF MODELS BELOW ---
# Example models:
mistralai/Mistral-7B-Instruct-v0.1,Mistral-7B-Instruct-v0.1
meta-llama/Llama-2-7b-chat-hf,Llama-2-7B-Chat-HF (Meta)
google/gemma-1.1-7b-it,Gemma-1.1-7B-IT (Google)
Qwen/Qwen2-7B-Instruct,Qwen2-7B-Instruct (Alibaba)
BAAI/AquilaChat-7B,AquilaChat-7B (BAAI)
mistralai/Mixtral-8x7B-Instruct-v0.1,Mixtral-8x7B-Instruct-v0.1
EleutherAI/gpt-j-6b,GPT-J-6B (EleutherAI)
tiiuae/falcon-7b-instruct,Falcon-7B-Instruct (TII UAE)
mistralai/Pixtral-12B-2409,Pixtral-12B-2409 (MistralAI, Multimodal)
microsoft/phi-2,Phi-2 (Microsoft)
meta-llama/Meta-Llama-3-8B-Instruct,Llama-3-8B-Instruct (Meta)
meta-llama/Meta-Llama-3-70B-Instruct,Llama-3-70B-Instruct (Meta)
meta-llama/Meta-Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct (Meta)
meta-llama/Meta-Llama-3.1-70B-Instruct,Llama-3.1-70B-Instruct (Meta)
meta-llama/Meta-Llama-3.1-405B-Instruct,Llama-3.1-405B-Instruct (Meta)
google/gemma-1.1-2b-it,Gemma-1.1-2B-IT (Google)
google/gemma-2-9b-it,Gemma2-9B-IT (Google)
google/gemma-2-27b-it,Gemma2-27B-IT (Google)
Qwen/Qwen1.5-7B-Chat,Qwen1.5-7B-Chat (Alibaba)
Qwen/Qwen1.5-14B-Chat,Qwen1.5-14B-Chat (Alibaba)
Qwen/Qwen1.5-72B-Chat,Qwen1.5-72B-Chat (Alibaba)
Qwen/Qwen1.5-MoE-A2.7B-Chat,Qwen1.5-MoE-A2.7B-Chat (Alibaba)
Qwen/Qwen2-1.5B-Instruct,Qwen2-1.5B-Instruct (Alibaba)
Qwen/Qwen2-72B-Instruct,Qwen2-72B-Instruct (Alibaba)
microsoft/phi-3-mini-4k-instruct,Phi-3-Mini-4K-Instruct (Microsoft)
microsoft/phi-3-small-8k-instruct,Phi-3-Small-8K-Instruct (Microsoft)
microsoft/phi-3-medium-4k-instruct,Phi-3-Medium-4K-Instruct (Microsoft)
CohereForAI/c4ai-command-r-v01,Command-R v01 (CohereForAI)
CohereForAI/c4ai-command-r-plus,Command R+ (CohereForAI)
databricks/dbrx-instruct,DBRX Instruct (Databricks)
01-ai/Yi-6B-Chat,Yi-6B-Chat (01.AI)
01-ai/Yi-34B-Chat,Yi-34B-Chat (01.AI)
deepseek-ai/deepseek-llm-7b-chat,DeepSeek-LLM-7B-Chat (deepseek-ai)
